id	formattedAddress	zipCode	county	latitude	longitude	propertyType	bedrooms	bathrooms	squareFootage	lotSize	yearBuilt	hoaFee	status	price	price_per_sqft	listedDate	removedDate	lastSeenDate	daysOnMarket	builderName	subdivision	mlsName	roomCount	floorCount	garage	garageSpaces	pool	fireplace	cooling	coolingType	heating	heatingType	exteriorType	foundationType	architectureType	pulled_at
3900-Surmise-St,-El-Paso,-TX-79938	3900 Surmise St, El Paso, TX 79938	79938	El Paso	31.809211	-106.199182	Single Family	4	2.5	1811	5663	2025		Active	337950	186.61	2025-08-17T00:00:00.000Z		2026-08-12T11:21:59.638Z	360			Elpaso														8/12/2026
640-Stewart-Ct,-El-Paso,-TX-79902	640 Stewart Ct, El Paso, TX 79902	79902	El Paso	31.760039	-106.49731	Single Family	2	1.5	1215	4356	1930		Active	369000	303.7	2025-08-28T00:00:00.000Z		2026-08-12T11:21:59.638Z	349			Elpaso														8/12/2026
389534-Teachers-Ave,-El-Paso,-TX-79928	389534 Teachers Ave, El Paso, TX 79928	79928	El Paso	31.654636	-106.041326	Land				71874			Active	14750		2025-08-24T00:00:00.000Z		2026-08-12T11:21:59.635Z	353			Elpaso														8/12/2026
E-Gateway-Blvd,-El-Paso,-TX-79927	E Gateway Blvd, El Paso, TX 79927	79927	El Paso	31.656251	-106.240395	Land				2281237			Active	22812372		2025-08-14T00:00:00.000Z		2026-08-12T11:21:59.634Z	363			Elpaso														8/12/2026
7064-Alameda-Ave,-El-Paso,-TX-79915	7064 Alameda Ave, El Paso, TX 79915	79915	El Paso	31.754494	-106.394112	Land				66211			Active	750000		2025-08-18T00:00:00.000Z		2026-08-12T11:21:59.633Z	359			Elpaso														8/12/2026
13833-Paseo-Bosque-Ave,-El-Paso,-TX-79928	13833 Paseo Bosque Ave, El Paso, TX 79928	79928	El Paso	31.709367	-106.207321	Single Family	4	2	1650	6098	2024	62	Active	325000	196.97	2025-08-16T00:00:00.000Z		2026-08-12T11:21:59.632Z	361			Elpaso														8/12/2026
17161-Delia-Ave,-El-Paso,-TX-79938	17161 Delia Ave, El Paso, TX 79938	79938	El Paso	31.923395	-106.078066	Land				233917			Active	45000		2025-08-08T00:00:00.000Z		2026-08-12T11:21:59.631Z	369			Elpaso														8/12/2026
1-12-Vanterbilt-St,-El-Paso,-TX-79928	1-12 Vanterbilt St, El Paso, TX 79928	79928	El Paso	31.672205	-106.023074	Land				71874			Active	14750		2025-08-24T00:00:00.000Z		2026-08-12T11:21:59.631Z	353			Elpaso														8/12/2026
14561-Tierra-Resort-Ave,-El-Paso,-TX-79938	14561 Tierra Resort Ave, El Paso, TX 79938	79938	El Paso	31.770881	-106.212308	Single Family	4	3.5	2500	7841	2025		Active	579999	232	2025-08-21T00:00:00.000Z		2026-08-12T11:21:59.630Z	356			Elpaso														8/12/2026
2033-Paseo-Del-Prado-Dr,-El-Paso,-TX-79936	2033 Paseo Del Prado Dr, El Paso, TX 79936	79936	El Paso	31.766208	-106.272989	Single Family	4	4	5000	18731	1995		Active	935000	187	2025-08-26T00:00:00.000Z		2026-08-12T11:21:59.630Z	351			Elpaso														8/12/2026
